text,label
മോദി ലോകത്തിൻ്റെ പ്രതീക്ഷ  പ്രധാനമന്ത്രിയെ പുകഴ്ത്തിയ ന്യൂ യോർക്ക് ടൈംസ് വാർത്ത വ്യാജമോ?,0
അമരീന്ദര്‍ സിങ്ങ് ബിജെപിയിൽ ചേര്‍ന്നോ? അമിത് ഷായ്ക്കൊപ്പമുള്ള ചിത്രത്തിന്റെ സത്യമെന്ത്?,0
ലൈസൻസ് പുതുക്കാൻ അപേക്ഷിച്ചത് വ്യാജ സൈറ്റിലോ? പണവും പോയേക്കാം  മുന്നറിയിപ്പുമായി എംവിഡി,0
പ്രധാനമന്ത്രി ആദരിക്കുന്നത് ഗോഡ്സെയോ? ചിത്രത്തിന്റെ വസ്തുത ഇങ്ങനെ,0
" പാകിസ്ഥാൻ്റെ പഞ്ച്ഷീർ ആക്രമണം; റിപ്പബ്ലിക്ക് ടി.വി പുറത്തുവിട്ടത് കുട്ടികളുടെ വീഡിയോ ഗെയിം ദൃശ്യങ്ങള്‍, സത്യാവസ്ഥ ഇങ്ങനെ ",0
താലിബാൻ ഹെലികോപ്റ്ററിൽ തൂങ്ങിയാടുന്ന മൃതദേഹം  ഈ ദൃശ്യത്തിനു പിന്നിലെ സത്യമെന്ത്?,0
കൊവിഡ് വാക്സിൻ സ്വീകരിച്ച ഇന്ത്യൻ ജവാന്മാര്‍ കുഴഞ്ഞുവീഴുന്നുവോ  സത്യമെന്താണ്?,0
താലിബാൻ അഫ്ഗാൻ യുവതികളെ ലൈംഗിക അടിമകളായി തെരുവിൽ വിറ്റോ?,0
" താലിബാൻ തീവ്രവാദികള്‍ മാസ്ക് ധരിച്ച് മാതൃകയായോ, സിഎൻഎൻ അഭിനന്ദിച്ചോ? വാർത്തയുടെ സത്യാവസ്ഥ എന്ത് ",0
മെസി ബാഴ്സയോട് വിടപറഞ്ഞ വാർത്താ സമ്മേളനം  ഫോട്ടോഗ്രാഫർ താരത്തോടൊപ്പം കരഞ്ഞോ? യാഥാർഥ്യം ഇങ്ങനെ,0
ഒളിമ്പിക്സ് സ്വ‍ര്‍ണ മെഡൽ പങ്കിട്ട സൗഹൃദം: സ്റ്റാറ്റസിൽ കണ്ട കഥ അങ്ങനെയല്ല! സത്യം ഇതാണ്,0
"  മഹാരാഷ്ട്രയിൽ വെള്ളപ്പൊക്കത്തിൽ കുടുങ്ങികിടക്കുന്ന കാര്‍; ബിജെപിക്കെതിരെ രാഷ്ട്രീയ ആയുധമാക്കി ശിവസേന, പക്ഷെ ",0
പുതിയ കൊവിഡ് വേരിയന്റ് നേരത്തെ പ്രവചിക്കപ്പെട്ടിരുന്നോ?,0
പിണറായിയുടെ വാദം തെറ്റ്?  സംസ്ഥാനത്ത് ദാരിദ്ര്യം കുറവെന,0
യുനെസ്കോ അറിഞ്ഞിട്ട് പോലുമില്ല ഈ പഴങ്കഞ്ഞി വാർത്ത  പ്,0
മോദി ലോകത്തിൻ്റെ പ്രതീക്ഷ  പ്രധാനമന്ത്രിയെ പുകഴ്ത്തിയ ന്യൂ യോർക്ക് ടൈംസ് വാർത്ത വ്യാജമോ?,0
ആഗോളതാപനം ഇല്ലാതാക്കാനാണോ രാഷ്ട്രപതിയും സന്യാസിമാരും ഗ്ലോബിൽ  ജലധാര നടത്തിയത്,0
ഐക്യരാഷ്ട്ര സഭയും അമേരിക്കയും ഇന്ത്യയെ താക്കീത് ചെയ്തോ,0
അമേഠിയിൽ ബിജെപി നേതാവിനെ വധിച്ചത് ബിജെപിക്കാർ തന്നെയാണോ,0
മുന്‍ അമേരിക്കന്‍ ഹോം സെക്രട്ടറി ജോണ്‍ മേക്കെന്‍ ഇസ്ലാം സ്വീകരിച്ചിരുന്നോ,0
കെഎംസിസിക്ക് ഐക്യദാര്‍ഢ്യം പ്രഖ്യാപിച്ച് ഐക്യരാഷ്ട്രസഭ ആസ്ഥാനത്ത് മുസ്‌ലിം ലീഗ് പതാക ഉയര്‍ത്തിയോ,0
RSS ശാഖ നിരോധിക്കാനൊരുങ്ങി പിണറായ്’ എന്ന വാർത്ത സത്യമോ,0
