text,label
"കൊച്ചി ചെരുപ്പ് വിതരണ കേന്ദ്രത്തിലെ തീപിടിത്തം; അന്വേഷണം തുടങ്ങി, അട്ടിമറി സാധ്യതയും പരിശോധിക്കുന്നു",1
ഈ​​​സ്റ്റേ​​​ണ്‍ ക​​​റി പൗ​​​ഡ​​​റി​​​ന് പു​​​ര​​​സ്കാ​​​രം,1
ശ്രീശാന്തിന്റെ ആജീവനാന്ത വിലക്ക് പിന്‍വലിച്ചു,1
റയല്‍ മാഡ്രിഡിനെ ഞെട്ടിച്ച യുവതാരം ബ്രസീല്‍ ടീമില്‍,1
"എനിക്ക് ശ്രീനിവാസന്‍ ആകേണ്ട, ലോഹിതദാസ് മതി : കാരണം തുറന്നു പറഞ്ഞു ശ്യാം പുഷ്കരന്‍",1
"മുല്ലപ്പൂ വിപ്ലവം ഇന്നു മുതല്‍, തിയറ്റര്‍ ലിസ്റ്റ്",1
അനാന്‍' ചിത്രത്തിന്‍റെ പുതിയ പോസ്റ്റര്‍ പുറത്തുവിട്ടു,1
മുകേഷ് അംബാനി കുതിക്കുന്നു,1
കിസാന്‍ സമ്മാന്‍ നിധിക്കായി സംസ്ഥാനത്തെ കൃഷിഭവനുകളില്‍ അപേക്ഷകരുടെ വന്‍ തിരക്ക്‌,1
സെലിബ്രിറ്റികള്‍ക്കും താരങ്ങള്‍ക്കും യാതൊരു വികാരങ്ങളുമില്ല.. എന്ത് കേട്ടാലും അതങ്ങ് ഉള്‍ക്കൊള്ളണം',1
ഐപിഎല്‍ 2019: ആരാവും പ്ലെയര്‍ ഓഫ് ദി ടൂര്‍ണമെന്റ്? അതൊരു മലയാളി താരം!! വോണിന്റെ പ്രവചനം,1
സംസ്ഥാനത്ത് സ്വര്‍ണ വില കുറഞ്ഞു,1
ഐ എസ്‌ എല്‍ ആദ്യ സെമിയില്‍ നോര്‍ത്ത്‌ ഈസ്റ്റ്‌ ഇന്നലെ ബാംഗളൂര്‍ എഫ്‌ സിയെ പരാജയപ്പെടുത്തി,1
"ശ്രീശാന്തിന്റെ ആജീവനാന്ത വിലക്ക് പിന്‍വലിച്ചു, ബിസിസിഐയോട് ശിക്ഷ കാലയളവ് പുനഃപരിശോധിക്കുവാന്‍ സുപ്രീം കോടതി",1
തോളിനേറ്റ പരിക്ക്,1
തമ്മിലിടഞ്ഞ് റാമോസും പെരസും,1
ഡ്രീം ഡെലിവറിയുമായി ജഡേജ,1
റെഡ്മി നോട്ട് 7 ഫോണുകളുടെ രണ്ടാം ഘട്ട വില്‍പ്പന മാര്‍ച്ച്‌ 13 ന്,1
സ്വര്‍ണ്ണ വില കുറഞ്ഞു,1
ജൂലായ് കാട്രില്‍ ഇന്ന് പ്രദര്‍ശനത്തിന് എത്തും,1
