text,label
മോദി ലോകത്തിൻ്റെ പ്രതീക്ഷ  പ്രധാനമന്ത്രിയെ പുകഴ്ത്തിയ ന്യൂ യോർക്ക് ടൈംസ് വാർത്ത വ്യാജമോ?,1
അമരീന്ദര്‍ സിങ്ങ് ബിജെപിയിൽ ചേര്‍ന്നോ? അമിത് ഷായ്ക്കൊപ്പമുള്ള ചിത്രത്തിന്റെ സത്യമെന്ത്?,1
ലൈസൻസ് പുതുക്കാൻ അപേക്ഷിച്ചത് വ്യാജ സൈറ്റിലോ? പണവും പോയേക്കാം  മുന്നറിയിപ്പുമായി എംവിഡി,1
പ്രധാനമന്ത്രി ആദരിക്കുന്നത് ഗോഡ്സെയോ? ചിത്രത്തിന്റെ വസ്തുത ഇങ്ങനെ,1
" പാകിസ്ഥാൻ്റെ പഞ്ച്ഷീർ ആക്രമണം; റിപ്പബ്ലിക്ക് ടി.വി പുറത്തുവിട്ടത് കുട്ടികളുടെ വീഡിയോ ഗെയിം ദൃശ്യങ്ങള്‍, സത്യാവസ്ഥ ഇങ്ങനെ ",1
താലിബാൻ ഹെലികോപ്റ്ററിൽ തൂങ്ങിയാടുന്ന മൃതദേഹം  ഈ ദൃശ്യത്തിനു പിന്നിലെ സത്യമെന്ത്?,1
കൊവിഡ് വാക്സിൻ സ്വീകരിച്ച ഇന്ത്യൻ ജവാന്മാര്‍ കുഴഞ്ഞുവീഴുന്നുവോ  സത്യമെന്താണ്?,1
താലിബാൻ അഫ്ഗാൻ യുവതികളെ ലൈംഗിക അടിമകളായി തെരുവിൽ വിറ്റോ?,1
" താലിബാൻ തീവ്രവാദികള്‍ മാസ്ക് ധരിച്ച് മാതൃകയായോ, സിഎൻഎൻ അഭിനന്ദിച്ചോ? വാർത്തയുടെ സത്യാവസ്ഥ എന്ത് ",1
മെസി ബാഴ്സയോട് വിടപറഞ്ഞ വാർത്താ സമ്മേളനം  ഫോട്ടോഗ്രാഫർ താരത്തോടൊപ്പം കരഞ്ഞോ? യാഥാർഥ്യം ഇങ്ങനെ,1
ഒളിമ്പിക്സ് സ്വ‍ര്‍ണ മെഡൽ പങ്കിട്ട സൗഹൃദം: സ്റ്റാറ്റസിൽ കണ്ട കഥ അങ്ങനെയല്ല! സത്യം ഇതാണ്,1
"  മഹാരാഷ്ട്രയിൽ വെള്ളപ്പൊക്കത്തിൽ കുടുങ്ങികിടക്കുന്ന കാര്‍; ബിജെപിക്കെതിരെ രാഷ്ട്രീയ ആയുധമാക്കി ശിവസേന, പക്ഷെ ",1
പുതിയ കൊവിഡ് വേരിയന്റ് നേരത്തെ പ്രവചിക്കപ്പെട്ടിരുന്നോ?,1
പിണറായിയുടെ വാദം തെറ്റ്?  സംസ്ഥാനത്ത് ദാരിദ്ര്യം കുറവെന,1
യുനെസ്കോ അറിഞ്ഞിട്ട് പോലുമില്ല ഈ പഴങ്കഞ്ഞി വാർത്ത  പ്,1
മോദി ലോകത്തിൻ്റെ പ്രതീക്ഷ  പ്രധാനമന്ത്രിയെ പുകഴ്ത്തിയ ന്യൂ യോർക്ക് ടൈംസ് വാർത്ത വ്യാജമോ?,1
ആഗോളതാപനം ഇല്ലാതാക്കാനാണോ രാഷ്ട്രപതിയും സന്യാസിമാരും ഗ്ലോബിൽ  ജലധാര നടത്തിയത്,1
ഐക്യരാഷ്ട്ര സഭയും അമേരിക്കയും ഇന്ത്യയെ താക്കീത് ചെയ്തോ,1
അമേഠിയിൽ ബിജെപി നേതാവിനെ വധിച്ചത് ബിജെപിക്കാർ തന്നെയാണോ,1
മുന്‍ അമേരിക്കന്‍ ഹോം സെക്രട്ടറി ജോണ്‍ മേക്കെന്‍ ഇസ്ലാം സ്വീകരിച്ചിരുന്നോ,1
കെഎംസിസിക്ക് ഐക്യദാര്‍ഢ്യം പ്രഖ്യാപിച്ച് ഐക്യരാഷ്ട്രസഭ ആസ്ഥാനത്ത് മുസ്‌ലിം ലീഗ് പതാക ഉയര്‍ത്തിയോ,1
RSS ശാഖ നിരോധിക്കാനൊരുങ്ങി പിണറായ്’ എന്ന വാർത്ത സത്യമോ,1
മഹാരാഷ്ട്രയില്‍ ട്രാഫിക്ക് പ്രശ്നംമൂലമുണ്ടായ സംഘര്‍ഷത്തിന്‍റെ ദൃശ്യങ്ങള്‍ ഡല്‍ഹി കലാപം എന്ന തരത്തില്‍ പ്രചരിക്കുന്നു,1
സുകന്യ യോജന എസ്ബിഐ കൂടാതെ മറ്റു ബാങ്കുകൾ വഴിയും ലഭിക്കും,1
എറണാകുളത്ത് പുതുതായി 16  കോവിഡ്  കേസുകൾ റിപ്പോർട്ട് ചെയ്‌തെന്ന്  വ്യാജ പ്രചരണം,1
അമിത് ഷാ മമത ബാനര്‍ജീക്ക് ജയ് ശ്രീ രാം എഴുതിയ കത്ത് കൈമാറിയോ,1
നരേന്ദ്ര മോദിയെ പ്രകാശ്‌ കാരാട്ട് കെട്ടിപ്പിടിക്കുന്ന  ചിത്രം യഥാർത്ഥമാണോ,1
ചന്ദ്രയാൻ – 2 ആദ്യമായി അയച്ച ഭൂമിയുടെ മനോഹര ചിത്രങ്ങളാണോ പോസ്റ്റിൽ കാണുന്നത്,1
മുഖ്യമന്ത്രിയെ വിമർശിച്ച് പി ജയരാജൻ പരാമർശം നടത്തിയിട്ടില്ല,1
ഈ ചിത്രം ഇന്ത്യന്‍ വ്യോമസേനയുടെ വിമാനങ്ങള്‍ ആകാശത്തില്‍ ഉണ്ടാക്കിയ തൃശൂലത്തിന്‍റെതാണോ,1
ഭാര്യ പാമ്പിന്റെ പടമുള്ള പാന്റ് ധരിച്ചപ്പോൾ പാമ്പാണെന്നു കരുതി ഭർത്താവ് ഭാര്യയുടെ കാലു തല്ലി ഒടിച്ചു എന്ന വാര്‍ത്ത‍ സത്യമോ,1
ഈ “മൽസ്യത്തോട്ടം” ആലപ്പുഴയിലെ ചെത്തി കടപ്പുറത്തു നിന്നുമുള്ളതാണോ,1
